"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7976","Change quantity of item","chromium","Thu Dec 26 13:27:36 GMT 2024","passed","Thu Dec 26 13:27:44 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","201","Get /todos/9999","api","Thu Dec 26 13:28:11 GMT 2024","passed","Thu Dec 26 13:28:11 GMT 2024","API tests","api/api.spec.ts","",""
"","2576","Change currency","chromium","Thu Dec 26 13:27:06 GMT 2024","passed","Thu Dec 26 13:27:09 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","308","Get /challenges","api","Thu Dec 26 13:28:10 GMT 2024","passed","Thu Dec 26 13:28:10 GMT 2024","API tests","api/api.spec.ts","",""
"","211","Get /todo","api","Thu Dec 26 13:28:11 GMT 2024","passed","Thu Dec 26 13:28:11 GMT 2024","API tests","api/api.spec.ts","",""
"","7526","Post comment in item","chromium","Thu Dec 26 13:28:02 GMT 2024","failed","Thu Dec 26 13:28:09 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","257","Get /todos","api","Thu Dec 26 13:28:10 GMT 2024","passed","Thu Dec 26 13:28:11 GMT 2024","API tests","api/api.spec.ts","",""
"","6670","Change pagination","chromium","Thu Dec 26 13:26:59 GMT 2024","failed","Thu Dec 26 13:27:05 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","8179","Login with incorrect email","chromium","Thu Dec 26 13:27:27 GMT 2024","failed","Thu Dec 26 13:27:35 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","232","Get /todos/1","api","Thu Dec 26 13:28:11 GMT 2024","passed","Thu Dec 26 13:28:11 GMT 2024","API tests","api/api.spec.ts","",""
