"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","592","Get /todos/1","api","Thu Dec 26 14:59:37 GMT 2024","passed","Thu Dec 26 14:59:38 GMT 2024","API tests","api/api.spec.ts","",""
"","7299","Login with incorrect email","chromium","Thu Dec 26 14:58:55 GMT 2024","failed","Thu Dec 26 14:59:03 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","6514","Change pagination","chromium","Thu Dec 26 14:58:30 GMT 2024","failed","Thu Dec 26 14:58:36 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","613","Get /todo","api","Thu Dec 26 14:59:37 GMT 2024","passed","Thu Dec 26 14:59:37 GMT 2024","API tests","api/api.spec.ts","",""
"","602","Get /todos/9999","api","Thu Dec 26 14:59:38 GMT 2024","passed","Thu Dec 26 14:59:39 GMT 2024","API tests","api/api.spec.ts","",""
"","681","Get /challenges","api","Thu Dec 26 14:59:36 GMT 2024","passed","Thu Dec 26 14:59:36 GMT 2024","API tests","api/api.spec.ts","",""
"","2067","Change currency","chromium","Thu Dec 26 14:58:37 GMT 2024","passed","Thu Dec 26 14:58:39 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","630","Get /todos","api","Thu Dec 26 14:59:36 GMT 2024","passed","Thu Dec 26 14:59:37 GMT 2024","API tests","api/api.spec.ts","",""
"","7285","Post comment in item","chromium","Thu Dec 26 14:59:28 GMT 2024","failed","Thu Dec 26 14:59:35 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","7578","Change quantity of item","chromium","Thu Dec 26 14:59:03 GMT 2024","passed","Thu Dec 26 14:59:11 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
