"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","211","Get /todo","api","Thu Dec 26 13:43:23 GMT 2024","passed","Thu Dec 26 13:43:24 GMT 2024","API tests","api/api.spec.ts","",""
"","7360","Login with incorrect email","chromium","Thu Dec 26 13:42:32 GMT 2024","failed","Thu Dec 26 13:42:39 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","2753","Change currency","chromium","Thu Dec 26 13:42:11 GMT 2024","passed","Thu Dec 26 13:42:14 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","298","Get /challenges","api","Thu Dec 26 13:43:23 GMT 2024","passed","Thu Dec 26 13:43:23 GMT 2024","API tests","api/api.spec.ts","",""
"","209","Get /todos/1","api","Thu Dec 26 13:43:24 GMT 2024","passed","Thu Dec 26 13:43:24 GMT 2024","API tests","api/api.spec.ts","",""
"","7864","Post comment in item","chromium","Thu Dec 26 13:43:14 GMT 2024","failed","Thu Dec 26 13:43:22 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","187","Get /todos/9999","api","Thu Dec 26 13:43:24 GMT 2024","passed","Thu Dec 26 13:43:24 GMT 2024","API tests","api/api.spec.ts","",""
"","7463","Change pagination","chromium","Thu Dec 26 13:42:03 GMT 2024","failed","Thu Dec 26 13:42:11 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","14984","Change quantity of item","chromium","Thu Dec 26 13:42:40 GMT 2024","passed","Thu Dec 26 13:42:55 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","224","Get /todos","api","Thu Dec 26 13:43:23 GMT 2024","passed","Thu Dec 26 13:43:23 GMT 2024","API tests","api/api.spec.ts","",""
