"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11766","Change pagination","chromium","Thu Jan 02 08:48:50 GMT 2025","passed","Thu Jan 02 08:49:02 GMT 2025","Academybugs","ui/bugs.spec.ts","",""
"","173","Get /challenges","api","Thu Jan 02 08:49:31 GMT 2025","passed","Thu Jan 02 08:49:31 GMT 2025","API tests","api/api.spec.ts","",""
"","116","Get /todos/1","api","Thu Jan 02 08:49:31 GMT 2025","passed","Thu Jan 02 08:49:31 GMT 2025","API tests","api/api.spec.ts","",""
"","12129","Post comment in item","chromium","Thu Jan 02 08:49:18 GMT 2025","passed","Thu Jan 02 08:49:30 GMT 2025","Academybugs","ui/bugs.spec.ts","",""
"","4626","Login with incorrect email","chromium","Thu Jan 02 08:49:05 GMT 2025","passed","Thu Jan 02 08:49:09 GMT 2025","Academybugs","ui/bugs.spec.ts","",""
"","8972","Change quantity of item","chromium","Thu Jan 02 08:49:09 GMT 2025","passed","Thu Jan 02 08:49:18 GMT 2025","Academybugs","ui/bugs.spec.ts","",""
"","2516","Change currency","chromium","Thu Jan 02 08:49:02 GMT 2025","passed","Thu Jan 02 08:49:05 GMT 2025","Academybugs","ui/bugs.spec.ts","",""
"","109","Get /todos/9999","api","Thu Jan 02 08:49:31 GMT 2025","passed","Thu Jan 02 08:49:32 GMT 2025","API tests","api/api.spec.ts","",""
"","106","Get /todos","api","Thu Jan 02 08:49:31 GMT 2025","passed","Thu Jan 02 08:49:31 GMT 2025","API tests","api/api.spec.ts","",""
"","107","Get /todo","api","Thu Jan 02 08:49:31 GMT 2025","passed","Thu Jan 02 08:49:31 GMT 2025","API tests","api/api.spec.ts","",""
