"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9111","Change quantity of item","chromium","Thu Dec 26 11:22:18 GMT 2024","passed","Thu Dec 26 11:22:27 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","2445","Change currency","chromium","Thu Dec 26 11:21:48 GMT 2024","passed","Thu Dec 26 11:21:51 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","607","Get /todos","api","Thu Dec 26 11:22:58 GMT 2024","passed","Thu Dec 26 11:22:59 GMT 2024","API tests","api/api.spec.ts","",""
"","7936","Login with incorrect email","chromium","Thu Dec 26 11:22:10 GMT 2024","failed","Thu Dec 26 11:22:18 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","8093","Post comment in item","chromium","Thu Dec 26 11:22:49 GMT 2024","failed","Thu Dec 26 11:22:57 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","6613","Change pagination","chromium","Thu Dec 26 11:21:41 GMT 2024","failed","Thu Dec 26 11:21:48 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","679","Get /challenges","api","Thu Dec 26 11:22:57 GMT 2024","passed","Thu Dec 26 11:22:58 GMT 2024","API tests","api/api.spec.ts","",""
"","599","Get /todos/9999","api","Thu Dec 26 11:23:00 GMT 2024","passed","Thu Dec 26 11:23:00 GMT 2024","API tests","api/api.spec.ts","",""
"","615","Get /todos/1","api","Thu Dec 26 11:22:59 GMT 2024","passed","Thu Dec 26 11:23:00 GMT 2024","API tests","api/api.spec.ts","",""
"","609","Get /todo","api","Thu Dec 26 11:22:59 GMT 2024","passed","Thu Dec 26 11:22:59 GMT 2024","API tests","api/api.spec.ts","",""
