"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7651","Post comment in item","chromium","Thu Dec 26 12:35:26 GMT 2024","failed","Thu Dec 26 12:35:34 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","211","Get /todos","api","Thu Dec 26 12:35:35 GMT 2024","passed","Thu Dec 26 12:35:35 GMT 2024","API tests","api/api.spec.ts","",""
"","2606","Change currency","chromium","Thu Dec 26 12:34:20 GMT 2024","passed","Thu Dec 26 12:34:23 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","191","Get /todos/9999","api","Thu Dec 26 12:35:36 GMT 2024","passed","Thu Dec 26 12:35:36 GMT 2024","API tests","api/api.spec.ts","",""
"","16519","Change quantity of item","chromium","Thu Dec 26 12:34:50 GMT 2024","passed","Thu Dec 26 12:35:07 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","6681","Change pagination","chromium","Thu Dec 26 12:34:13 GMT 2024","failed","Thu Dec 26 12:34:20 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","240","Get /todos/1","api","Thu Dec 26 12:35:35 GMT 2024","passed","Thu Dec 26 12:35:36 GMT 2024","API tests","api/api.spec.ts","",""
"","256","Get /todo","api","Thu Dec 26 12:35:35 GMT 2024","passed","Thu Dec 26 12:35:35 GMT 2024","API tests","api/api.spec.ts","",""
"","8494","Login with incorrect email","chromium","Thu Dec 26 12:34:41 GMT 2024","failed","Thu Dec 26 12:34:50 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","284","Get /challenges","api","Thu Dec 26 12:35:35 GMT 2024","passed","Thu Dec 26 12:35:35 GMT 2024","API tests","api/api.spec.ts","",""
