"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","Get /todos","api","Thu Dec 26 11:42:45 GMT 2024","passed","Thu Dec 26 11:42:45 GMT 2024","API tests","api/api.spec.ts","",""
"","6750","Change pagination","chromium","Thu Dec 26 11:41:32 GMT 2024","failed","Thu Dec 26 11:41:38 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","138","Get /challenges","api","Thu Dec 26 11:42:45 GMT 2024","passed","Thu Dec 26 11:42:45 GMT 2024","API tests","api/api.spec.ts","",""
"","8595","Login with incorrect email","chromium","Thu Dec 26 11:41:59 GMT 2024","failed","Thu Dec 26 11:42:08 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","68","Get /todos/1","api","Thu Dec 26 11:42:46 GMT 2024","passed","Thu Dec 26 11:42:46 GMT 2024","API tests","api/api.spec.ts","",""
"","7734","Post comment in item","chromium","Thu Dec 26 11:42:37 GMT 2024","failed","Thu Dec 26 11:42:45 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","11122","Change quantity of item","chromium","Thu Dec 26 11:42:08 GMT 2024","passed","Thu Dec 26 11:42:19 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","83","Get /todos/9999","api","Thu Dec 26 11:42:46 GMT 2024","passed","Thu Dec 26 11:42:46 GMT 2024","API tests","api/api.spec.ts","",""
"","2629","Change currency","chromium","Thu Dec 26 11:41:39 GMT 2024","passed","Thu Dec 26 11:41:42 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","70","Get /todo","api","Thu Dec 26 11:42:45 GMT 2024","passed","Thu Dec 26 11:42:46 GMT 2024","API tests","api/api.spec.ts","",""
