"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","636","Get /todos/1","api","Thu Dec 26 15:21:13 GMT 2024","passed","Thu Dec 26 15:21:14 GMT 2024","API tests","api/api.spec.ts","",""
"","685","Get /challenges","api","Thu Dec 26 15:21:11 GMT 2024","passed","Thu Dec 26 15:21:12 GMT 2024","API tests","api/api.spec.ts","",""
"","7502","Post comment in item","chromium","Thu Dec 26 15:21:03 GMT 2024","failed","Thu Dec 26 15:21:11 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","7645","Change quantity of item","chromium","Thu Dec 26 15:20:39 GMT 2024","passed","Thu Dec 26 15:20:47 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","2403","Change currency","chromium","Thu Dec 26 15:20:12 GMT 2024","passed","Thu Dec 26 15:20:14 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","621","Get /todos","api","Thu Dec 26 15:21:12 GMT 2024","passed","Thu Dec 26 15:21:13 GMT 2024","API tests","api/api.spec.ts","",""
"","622","Get /todo","api","Thu Dec 26 15:21:13 GMT 2024","passed","Thu Dec 26 15:21:13 GMT 2024","API tests","api/api.spec.ts","",""
"","623","Get /todos/9999","api","Thu Dec 26 15:21:14 GMT 2024","passed","Thu Dec 26 15:21:15 GMT 2024","API tests","api/api.spec.ts","",""
"","7213","Login with incorrect email","chromium","Thu Dec 26 15:20:31 GMT 2024","failed","Thu Dec 26 15:20:38 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","6652","Change pagination","chromium","Thu Dec 26 15:20:05 GMT 2024","failed","Thu Dec 26 15:20:11 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
