"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","Get /challenges","api","Thu Dec 26 10:41:09 GMT 2024","passed","Thu Dec 26 10:41:09 GMT 2024","API tests","api/api.spec.ts","",""
"","7860","Login with incorrect email","chromium","Thu Dec 26 10:40:25 GMT 2024","failed","Thu Dec 26 10:40:33 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","8271","Post comment in item","chromium","Thu Dec 26 10:41:00 GMT 2024","failed","Thu Dec 26 10:41:09 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","241","Get /todo","api","Thu Dec 26 10:41:10 GMT 2024","passed","Thu Dec 26 10:41:10 GMT 2024","API tests","api/api.spec.ts","",""
"","2346","Change currency","chromium","Thu Dec 26 10:40:06 GMT 2024","passed","Thu Dec 26 10:40:08 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","231","Get /todos","api","Thu Dec 26 10:41:09 GMT 2024","passed","Thu Dec 26 10:41:10 GMT 2024","API tests","api/api.spec.ts","",""
"","207","Get /todos/9999","api","Thu Dec 26 10:41:10 GMT 2024","passed","Thu Dec 26 10:41:10 GMT 2024","API tests","api/api.spec.ts","",""
"","202","Get /todos/1","api","Thu Dec 26 10:41:10 GMT 2024","passed","Thu Dec 26 10:41:10 GMT 2024","API tests","api/api.spec.ts","",""
"","6586","Change pagination","chromium","Thu Dec 26 10:39:58 GMT 2024","failed","Thu Dec 26 10:40:05 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","8704","Change quantity of item","chromium","Thu Dec 26 10:40:34 GMT 2024","passed","Thu Dec 26 10:40:43 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
