"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8457","Change quantity of item","chromium","Thu Dec 26 13:37:02 GMT 2024","passed","Thu Dec 26 13:37:11 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","8347","Login with incorrect email","chromium","Thu Dec 26 13:36:53 GMT 2024","failed","Thu Dec 26 13:37:02 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","323","Get /challenges","api","Thu Dec 26 13:37:42 GMT 2024","passed","Thu Dec 26 13:37:42 GMT 2024","API tests","api/api.spec.ts","",""
"","7990","Post comment in item","chromium","Thu Dec 26 13:37:33 GMT 2024","failed","Thu Dec 26 13:37:41 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","4868","Change currency","chromium","Thu Dec 26 13:36:30 GMT 2024","passed","Thu Dec 26 13:36:35 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","9885","Change pagination","chromium","Thu Dec 26 13:36:19 GMT 2024","failed","Thu Dec 26 13:36:29 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","218","Get /todo","api","Thu Dec 26 13:37:42 GMT 2024","passed","Thu Dec 26 13:37:43 GMT 2024","API tests","api/api.spec.ts","",""
"","202","Get /todos/1","api","Thu Dec 26 13:37:43 GMT 2024","passed","Thu Dec 26 13:37:43 GMT 2024","API tests","api/api.spec.ts","",""
"","228","Get /todos","api","Thu Dec 26 13:37:42 GMT 2024","passed","Thu Dec 26 13:37:42 GMT 2024","API tests","api/api.spec.ts","",""
"","186","Get /todos/9999","api","Thu Dec 26 13:37:43 GMT 2024","passed","Thu Dec 26 13:37:43 GMT 2024","API tests","api/api.spec.ts","",""
