"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","664","Get /challenges","api","Thu Dec 26 12:54:02 GMT 2024","passed","Thu Dec 26 12:54:03 GMT 2024","API tests","api/api.spec.ts","",""
"","610","Get /todo","api","Thu Dec 26 12:54:04 GMT 2024","passed","Thu Dec 26 12:54:04 GMT 2024","API tests","api/api.spec.ts","",""
"","8029","Post comment in item","chromium","Thu Dec 26 12:53:54 GMT 2024","failed","Thu Dec 26 12:54:02 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","2831","Change currency","chromium","Thu Dec 26 12:52:59 GMT 2024","passed","Thu Dec 26 12:53:02 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","579","Get /todos/9999","api","Thu Dec 26 12:54:05 GMT 2024","passed","Thu Dec 26 12:54:05 GMT 2024","API tests","api/api.spec.ts","",""
"","6534","Change pagination","chromium","Thu Dec 26 12:52:52 GMT 2024","failed","Thu Dec 26 12:52:58 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","590","Get /todos/1","api","Thu Dec 26 12:54:04 GMT 2024","passed","Thu Dec 26 12:54:05 GMT 2024","API tests","api/api.spec.ts","",""
"","7751","Login with incorrect email","chromium","Thu Dec 26 12:53:19 GMT 2024","failed","Thu Dec 26 12:53:27 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","629","Get /todos","api","Thu Dec 26 12:54:03 GMT 2024","passed","Thu Dec 26 12:54:04 GMT 2024","API tests","api/api.spec.ts","",""
"","8811","Change quantity of item","chromium","Thu Dec 26 12:53:27 GMT 2024","passed","Thu Dec 26 12:53:36 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
