"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3619","Change currency","chromium","Thu Dec 26 11:33:54 GMT 2024","passed","Thu Dec 26 11:33:58 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","72","Get /todo","api","Thu Dec 26 11:35:00 GMT 2024","passed","Thu Dec 26 11:35:00 GMT 2024","API tests","api/api.spec.ts","",""
"","7567","Login with incorrect email","chromium","Thu Dec 26 11:34:15 GMT 2024","failed","Thu Dec 26 11:34:22 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","68","Get /todos/1","api","Thu Dec 26 11:35:00 GMT 2024","passed","Thu Dec 26 11:35:00 GMT 2024","API tests","api/api.spec.ts","",""
"","131","Get /challenges","api","Thu Dec 26 11:35:00 GMT 2024","passed","Thu Dec 26 11:35:00 GMT 2024","API tests","api/api.spec.ts","",""
"","10240","Change quantity of item","chromium","Thu Dec 26 11:34:23 GMT 2024","passed","Thu Dec 26 11:34:33 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","58","Get /todos/9999","api","Thu Dec 26 11:35:00 GMT 2024","passed","Thu Dec 26 11:35:00 GMT 2024","API tests","api/api.spec.ts","",""
"","75","Get /todos","api","Thu Dec 26 11:35:00 GMT 2024","passed","Thu Dec 26 11:35:00 GMT 2024","API tests","api/api.spec.ts","",""
"","7806","Post comment in item","chromium","Thu Dec 26 11:34:52 GMT 2024","failed","Thu Dec 26 11:34:59 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","6737","Change pagination","chromium","Thu Dec 26 11:33:47 GMT 2024","failed","Thu Dec 26 11:33:53 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
