"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8081","Change quantity of item","chromium","Thu Dec 26 15:11:34 GMT 2024","passed","Thu Dec 26 15:11:42 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","9654","Post comment in item","chromium","Thu Dec 26 15:11:58 GMT 2024","failed","Thu Dec 26 15:12:08 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","604","Get /todos/1","api","Thu Dec 26 15:12:11 GMT 2024","passed","Thu Dec 26 15:12:11 GMT 2024","API tests","api/api.spec.ts","",""
"","688","Get /challenges","api","Thu Dec 26 15:12:09 GMT 2024","passed","Thu Dec 26 15:12:09 GMT 2024","API tests","api/api.spec.ts","",""
"","603","Get /todos","api","Thu Dec 26 15:12:09 GMT 2024","passed","Thu Dec 26 15:12:10 GMT 2024","API tests","api/api.spec.ts","",""
"","615","Get /todo","api","Thu Dec 26 15:12:10 GMT 2024","passed","Thu Dec 26 15:12:11 GMT 2024","API tests","api/api.spec.ts","",""
"","2154","Change currency","chromium","Thu Dec 26 15:11:08 GMT 2024","passed","Thu Dec 26 15:11:10 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","6597","Change pagination","chromium","Thu Dec 26 15:11:00 GMT 2024","failed","Thu Dec 26 15:11:07 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","7189","Login with incorrect email","chromium","Thu Dec 26 15:11:26 GMT 2024","failed","Thu Dec 26 15:11:33 GMT 2024","Academybugs","ui/bugs.spec.ts","",""
"","616","Get /todos/9999","api","Thu Dec 26 15:12:11 GMT 2024","passed","Thu Dec 26 15:12:12 GMT 2024","API tests","api/api.spec.ts","",""
